listing_name,description,bed_type,rate,listing_link,date,nightly_price,total_price
Apartment in Downtown Victoria,Relaxed Central Apartment ★ Walk Everywhere,1 bed,4.94 (117),www.airbnb.ca/rooms/48753878?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-21&check_out=2023-09-28&source_impression_id=p3_1692670502_fYK%2Fq4t1RSrqocbp&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 21 – 28,190,"1,331"
Guesthouse in Victoria,Cozy and Modern Guesthouse,2 beds,4.9 (98),www.airbnb.ca/rooms/49778734?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-01&check_out=2023-11-06&source_impression_id=p3_1692670502_ugEQ6s8Me%2F6bXb9a&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Nov. 1 – 6,126,632
Apartment in Downtown Victoria,[The Botanist] DT Oasis w/ King Bed + Free Parking,1 bed,4.96 (46),www.airbnb.ca/rooms/857294605106887124?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-06&source_impression_id=p3_1692670502_vSlOiAe4%2BqEkkzKr&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Oct. 1 – 6,334,"1,672"
Condo in Downtown Victoria,The Common Room⚡️,2 beds,4.93 (501),www.airbnb.ca/rooms/43916034?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-20&check_out=2023-09-25&source_impression_id=p3_1692670502_qwKS7s5AIwvkgfRT&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 20 – 25,327,327
Guest suite in Victoria,"Waterfront, Hot Tub: That Place on Portage",1 queen bed,4.99 (403),www.airbnb.ca/rooms/21190020?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-25&source_impression_id=p3_1692670502_5JDFxX7P9efR7Heb&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 18 – 25,340,"2,379"
Guest suite in Fairfield,By the Ocean - Fairfield Pied-à-terre,1 queen bed,4.91 (243),www.airbnb.ca/rooms/34547008?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-02&check_out=2023-11-07&source_impression_id=p3_1692670502_iDwA%2FGKvMOomR57%2B&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Nov. 2 – 7,157,783
Condo in Downtown Victoria,New! Modern Waterfront Condo,1 queen bed,4.67 (27),www.airbnb.ca/rooms/898768939502173578?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-11&check_out=2023-11-16&source_impression_id=p3_1692670502_NEUTVoersmZfGZCl&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Nov. 11 – 16,151,755
Cabin in Victoria,Seaside Cottage with Private Beach,1 queen bed,4.97 (121),www.airbnb.ca/rooms/5019513?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-04-08&check_out=2024-04-13&source_impression_id=p3_1692670502_UIrGe%2FqQm3iomEiW&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Apr. 8 – 13,284,"1,422"
Guest suite in Victoria,Parkside Guest Suite on Gorge Waterway,1 queen bed,4.94 (154),www.airbnb.ca/rooms/18159434?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1692670502_MBTO1DwVAYHwfW8b&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 18 – 23,132,662
Cottage in Victoria,Ocean Front Retreat with Stunning Water Views,1 queen bed,4.95 (166),www.airbnb.ca/rooms/45330073?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-30&check_out=2023-10-05&source_impression_id=p3_1692670502_VL3%2F6diTSsLxq4SN&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 30 – Oct. 5,251,"1,254"
Condo in Downtown Victoria,The Penthouse at the Vogue  Free Parking,2 beds,4.81 (253),www.airbnb.ca/rooms/34910809?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-05&check_out=2023-11-10&source_impression_id=p3_1692670502_Z%2B5uw9w2MQtwL47W&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Nov. 5 – 10,189,944
Condo in Downtown Victoria,Beautifully Restored Hotel - Central Downtown Vic,1 queen bed,4.87 (105),www.airbnb.ca/rooms/52657330?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-14&source_impression_id=p3_1692670502_gbdwWDTSSSV3Fbn%2F&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 9 – 14,269,269
Condo in Downtown Victoria,"Rare-Downtown Waterfront,Parking Balcony&Views🐋🐚",2 beds,4.98 (195),www.airbnb.ca/rooms/49569037?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-04&check_out=2023-11-09&source_impression_id=p3_1692670502_1NCGrEpAZUd9TI5X&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Nov. 4 – 9,229,"1,147"
Condo in Downtown Victoria,Modern Top Floor 1 BR Condo in Historic Old Town,2 beds,4.82 (303),www.airbnb.ca/rooms/31741888?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1692670502_NBblqT0ZGNOjWn70&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Oct. 22 – 27,156,779
Guest suite in Gordon Head,Deluxe Oceanfront Getaway,1 king bed,4.93 (45),www.airbnb.ca/rooms/657978186038512659?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692670502_gwbwXuAryx0MGSQ4&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 3 – 8,407,407
Condo in Downtown Victoria,Modern Studio,1 queen bed,4.89 (360),www.airbnb.ca/rooms/42472926?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692670502_p1TjUbDraDI%2BspsU&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 10 – 15,221,221
Guest suite in Victoria,Cozy 1BR suite near Mayfair and Uptown Malls,1 queen bed,4.91 (115),www.airbnb.ca/rooms/31196160?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-20&check_out=2023-09-25&source_impression_id=p3_1692670502_v7YbsNkL%2FKIEhX%2F6&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 20 – 25,144,721
Condo in Downtown Victoria,Victoria heart,2 beds,4.91 (80),www.airbnb.ca/rooms/582654744641336801?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-30&check_out=2023-11-04&source_impression_id=p3_1692670502_ewfYkGyk0HSJqTfW&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Oct. 30 – Nov. 4,157,157
Apartment in Downtown Victoria,Relaxed Central Apartment ★ Walk Everywhere,1 bed,4.94 (117),www.airbnb.ca/rooms/48753878?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-21&check_out=2023-09-28&source_impression_id=p3_1692670502_fYK%2Fq4t1RSrqocbp&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 21 – 28,190,"1,331"
Guesthouse in Victoria,Cozy and Modern Guesthouse,2 beds,4.9 (98),www.airbnb.ca/rooms/49778734?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-01&check_out=2023-11-06&source_impression_id=p3_1692670502_ugEQ6s8Me%2F6bXb9a&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Nov. 1 – 6,126,632
Apartment in Downtown Victoria,[The Botanist] DT Oasis w/ King Bed + Free Parking,1 bed,4.96 (46),www.airbnb.ca/rooms/857294605106887124?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-06&source_impression_id=p3_1692670502_vSlOiAe4%2BqEkkzKr&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Oct. 1 – 6,334,"1,672"
Condo in Downtown Victoria,The Common Room⚡️,2 beds,4.93 (501),www.airbnb.ca/rooms/43916034?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-20&check_out=2023-09-25&source_impression_id=p3_1692670502_qwKS7s5AIwvkgfRT&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 20 – 25,327,327
Guest suite in Victoria,"Waterfront, Hot Tub: That Place on Portage",1 queen bed,4.99 (403),www.airbnb.ca/rooms/21190020?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-25&source_impression_id=p3_1692670502_5JDFxX7P9efR7Heb&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 18 – 25,340,"2,379"
Guest suite in Fairfield,By the Ocean - Fairfield Pied-à-terre,1 queen bed,4.91 (243),www.airbnb.ca/rooms/34547008?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-02&check_out=2023-11-07&source_impression_id=p3_1692670502_iDwA%2FGKvMOomR57%2B&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Nov. 2 – 7,157,783
Condo in Downtown Victoria,New! Modern Waterfront Condo,1 queen bed,4.67 (27),www.airbnb.ca/rooms/898768939502173578?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-11&check_out=2023-11-16&source_impression_id=p3_1692670502_NEUTVoersmZfGZCl&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Nov. 11 – 16,151,755
Cabin in Victoria,Seaside Cottage with Private Beach,1 queen bed,4.97 (121),www.airbnb.ca/rooms/5019513?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-04-08&check_out=2024-04-13&source_impression_id=p3_1692670502_UIrGe%2FqQm3iomEiW&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Apr. 8 – 13,284,"1,422"
Guest suite in Victoria,Parkside Guest Suite on Gorge Waterway,1 queen bed,4.94 (154),www.airbnb.ca/rooms/18159434?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1692670502_MBTO1DwVAYHwfW8b&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 18 – 23,132,662
Cottage in Victoria,Ocean Front Retreat with Stunning Water Views,1 queen bed,4.95 (166),www.airbnb.ca/rooms/45330073?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-30&check_out=2023-10-05&source_impression_id=p3_1692670502_VL3%2F6diTSsLxq4SN&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 30 – Oct. 5,251,"1,254"
Condo in Downtown Victoria,The Penthouse at the Vogue  Free Parking,2 beds,4.81 (253),www.airbnb.ca/rooms/34910809?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-05&check_out=2023-11-10&source_impression_id=p3_1692670502_Z%2B5uw9w2MQtwL47W&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Nov. 5 – 10,189,944
Condo in Downtown Victoria,Beautifully Restored Hotel - Central Downtown Vic,1 queen bed,4.87 (105),www.airbnb.ca/rooms/52657330?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-14&source_impression_id=p3_1692670502_gbdwWDTSSSV3Fbn%2F&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 9 – 14,269,269
Condo in Downtown Victoria,"Rare-Downtown Waterfront,Parking Balcony&Views🐋🐚",2 beds,4.98 (195),www.airbnb.ca/rooms/49569037?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-04&check_out=2023-11-09&source_impression_id=p3_1692670502_1NCGrEpAZUd9TI5X&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Nov. 4 – 9,229,"1,147"
Condo in Downtown Victoria,Modern Top Floor 1 BR Condo in Historic Old Town,2 beds,4.82 (303),www.airbnb.ca/rooms/31741888?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1692670502_NBblqT0ZGNOjWn70&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Oct. 22 – 27,156,779
Guest suite in Gordon Head,Deluxe Oceanfront Getaway,1 king bed,4.93 (45),www.airbnb.ca/rooms/657978186038512659?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692670502_gwbwXuAryx0MGSQ4&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 3 – 8,407,407
Condo in Downtown Victoria,Modern Studio,1 queen bed,4.89 (360),www.airbnb.ca/rooms/42472926?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692670502_p1TjUbDraDI%2BspsU&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 10 – 15,221,221
Guest suite in Victoria,Cozy 1BR suite near Mayfair and Uptown Malls,1 queen bed,4.91 (115),www.airbnb.ca/rooms/31196160?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-20&check_out=2023-09-25&source_impression_id=p3_1692670502_v7YbsNkL%2FKIEhX%2F6&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 20 – 25,144,721
Condo in Downtown Victoria,Victoria heart,2 beds,4.91 (80),www.airbnb.ca/rooms/582654744641336801?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-30&check_out=2023-11-04&source_impression_id=p3_1692670502_ewfYkGyk0HSJqTfW&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Oct. 30 – Nov. 4,157,157
Apartment in Downtown Victoria,Relaxed Central Apartment ★ Walk Everywhere,1 bed,4.94 (117),www.airbnb.ca/rooms/48753878?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-21&check_out=2023-09-28&source_impression_id=p3_1692670502_fYK%2Fq4t1RSrqocbp&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 21 – 28,190,"1,331"
Guesthouse in Victoria,Cozy and Modern Guesthouse,2 beds,4.9 (98),www.airbnb.ca/rooms/49778734?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-01&check_out=2023-11-06&source_impression_id=p3_1692670502_ugEQ6s8Me%2F6bXb9a&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Nov. 1 – 6,126,632
Apartment in Downtown Victoria,[The Botanist] DT Oasis w/ King Bed + Free Parking,1 bed,4.96 (46),www.airbnb.ca/rooms/857294605106887124?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-06&source_impression_id=p3_1692670502_vSlOiAe4%2BqEkkzKr&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Oct. 1 – 6,334,"1,672"
Condo in Downtown Victoria,The Common Room⚡️,2 beds,4.93 (501),www.airbnb.ca/rooms/43916034?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-20&check_out=2023-09-25&source_impression_id=p3_1692670502_qwKS7s5AIwvkgfRT&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 20 – 25,327,327
Guest suite in Victoria,"Waterfront, Hot Tub: That Place on Portage",1 queen bed,4.99 (403),www.airbnb.ca/rooms/21190020?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-25&source_impression_id=p3_1692670502_5JDFxX7P9efR7Heb&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 18 – 25,340,"2,379"
Guest suite in Fairfield,By the Ocean - Fairfield Pied-à-terre,1 queen bed,4.91 (243),www.airbnb.ca/rooms/34547008?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-02&check_out=2023-11-07&source_impression_id=p3_1692670502_iDwA%2FGKvMOomR57%2B&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Nov. 2 – 7,157,783
Condo in Downtown Victoria,New! Modern Waterfront Condo,1 queen bed,4.67 (27),www.airbnb.ca/rooms/898768939502173578?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-11&check_out=2023-11-16&source_impression_id=p3_1692670502_NEUTVoersmZfGZCl&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Nov. 11 – 16,151,755
Cabin in Victoria,Seaside Cottage with Private Beach,1 queen bed,4.97 (121),www.airbnb.ca/rooms/5019513?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-04-08&check_out=2024-04-13&source_impression_id=p3_1692670502_UIrGe%2FqQm3iomEiW&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Apr. 8 – 13,284,"1,422"
Guest suite in Victoria,Parkside Guest Suite on Gorge Waterway,1 queen bed,4.94 (154),www.airbnb.ca/rooms/18159434?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1692670502_MBTO1DwVAYHwfW8b&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 18 – 23,132,662
Cottage in Victoria,Ocean Front Retreat with Stunning Water Views,1 queen bed,4.95 (166),www.airbnb.ca/rooms/45330073?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-30&check_out=2023-10-05&source_impression_id=p3_1692670502_VL3%2F6diTSsLxq4SN&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 30 – Oct. 5,251,"1,254"
Condo in Downtown Victoria,The Penthouse at the Vogue  Free Parking,2 beds,4.81 (253),www.airbnb.ca/rooms/34910809?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-05&check_out=2023-11-10&source_impression_id=p3_1692670502_Z%2B5uw9w2MQtwL47W&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Nov. 5 – 10,189,944
Condo in Downtown Victoria,Beautifully Restored Hotel - Central Downtown Vic,1 queen bed,4.87 (105),www.airbnb.ca/rooms/52657330?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-14&source_impression_id=p3_1692670502_gbdwWDTSSSV3Fbn%2F&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 9 – 14,269,269
Condo in Downtown Victoria,"Rare-Downtown Waterfront,Parking Balcony&Views🐋🐚",2 beds,4.98 (195),www.airbnb.ca/rooms/49569037?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-04&check_out=2023-11-09&source_impression_id=p3_1692670502_1NCGrEpAZUd9TI5X&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Nov. 4 – 9,229,"1,147"
Condo in Downtown Victoria,Modern Top Floor 1 BR Condo in Historic Old Town,2 beds,4.82 (303),www.airbnb.ca/rooms/31741888?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1692670502_NBblqT0ZGNOjWn70&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Oct. 22 – 27,156,779
Guest suite in Gordon Head,Deluxe Oceanfront Getaway,1 king bed,4.93 (45),www.airbnb.ca/rooms/657978186038512659?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692670502_gwbwXuAryx0MGSQ4&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 3 – 8,407,407
Condo in Downtown Victoria,Modern Studio,1 queen bed,4.89 (360),www.airbnb.ca/rooms/42472926?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692670502_p1TjUbDraDI%2BspsU&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 10 – 15,221,221
Guest suite in Victoria,Cozy 1BR suite near Mayfair and Uptown Malls,1 queen bed,4.91 (115),www.airbnb.ca/rooms/31196160?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-20&check_out=2023-09-25&source_impression_id=p3_1692670502_v7YbsNkL%2FKIEhX%2F6&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 20 – 25,144,721
Condo in Downtown Victoria,Victoria heart,2 beds,4.91 (80),www.airbnb.ca/rooms/582654744641336801?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-30&check_out=2023-11-04&source_impression_id=p3_1692670502_ewfYkGyk0HSJqTfW&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Oct. 30 – Nov. 4,157,157
Apartment in Downtown Victoria,Relaxed Central Apartment ★ Walk Everywhere,1 bed,4.94 (117),www.airbnb.ca/rooms/48753878?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-21&check_out=2023-09-28&source_impression_id=p3_1692670502_fYK%2Fq4t1RSrqocbp&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Sep. 21 – 28,190,"1,331"
Guesthouse in Victoria,Cozy and Modern Guesthouse,2 beds,4.9 (98),www.airbnb.ca/rooms/49778734?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-01&check_out=2023-11-06&source_impression_id=p3_1692670502_ugEQ6s8Me%2F6bXb9a&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,Nov. 1 – 6,126,632
